date,x,y,notes
region,-1,-1,South Rainfall TARP
created,-1,-1,20/06/2019
currentUntil,-1,-1,10:00 a.m. 21/06/2019
20/06/2019,0.49853482649732533,0,
21/06/2019,0.39519588469665362,2,
22/06/2019,2.3234852281930789,0,
23/06/2019,0.96860189625268622,2,
